fdc_id,food_name,protein,fat,carbohydrates,calories,food_category,serving_size
320323,"MILK, 2% ",,,,,Dairy and Egg Products,
320324,"MILK, 2% ",,,,,Dairy and Egg Products,
320325,"Milk, 2%",,,,,Dairy and Egg Products,
320326,"Milk, 2%",,,,,Dairy and Egg Products,
320327,"Milk, 2%",,,,,Dairy and Egg Products,
320328,"Milk, 2%",,,,,Dairy and Egg Products,
320329,"Milk, 2%",,,,,Dairy and Egg Products,
320330,"MILK, 2% (WAVE 22E)",,,,,Dairy and Egg Products,
320331,"MILK, 2% (WAVE 22E)",,,,,Dairy and Egg Products,
320334,"MILK, 2% ",,,,,Dairy and Egg Products,
320335,"MILK, 2% ",,,,,Dairy and Egg Products,
320336,"MILK, 2% ",,1.97,,,Dairy and Egg Products,
320337,"MILK, 2% ",,,,,Dairy and Egg Products,
320338,"MILK, 2% ",,,,,Dairy and Egg Products,
320339,"MILK, 2% ",,,,,Dairy and Egg Products,
320340,"MILK, 2% ",,,,,Dairy and Egg Products,
320341,"MILK, 2% ",,,,,Dairy and Egg Products,
320342,"MILK, 2% ",,,,,Dairy and Egg Products,
320343,"MILK, 2% ",,,,,Dairy and Egg Products,
320344,"Milk, 2%",,,,,Dairy and Egg Products,
320345,"Milk, 2%",,,,,Dairy and Egg Products,
320346,"Milk, 2%",,,,,Dairy and Egg Products,
320347,"Milk, 2%",,,,,Dairy and Egg Products,
320348,"Milk, 2%",,,,,Dairy and Egg Products,
320349,"Milk, 2%",,,,,Dairy and Egg Products,
320350,"MILK, 2% (WAVE 22E)",,,,,Dairy and Egg Products,
320351,"MILK, 2% (WAVE 22E)",,,,,Dairy and Egg Products,
320356,"Proximates, Beef, Eye of Round roast/steak, lean only, raw, animal 5, select",23.4,3.46,,,Beef Products,
320380,"Se - Beef,  Eye of Round roast/steak, select, raw, comp13, lean",,,,,Beef Products,
320381,"Minerals - Beef,  Eye of Round roast/steak, select, raw, comp13, lean",,,,,Beef Products,
320383,"Proximates, Beef, Eye of Round roast/steak, lean only, raw, animal 10, select",23.9,1.91,,,Beef Products,
320385,"B12, B6, B3, B2 - Beef, Eye of Round roast/steak, select, raw, comp5, lean",,,,,Beef Products,
320386,"FA - Beef, Eye of Round roast/steak, select, raw, comp5, lean",,,,,Beef Products,
320387,"Choles, FA - Beef, Eye of Round roast/steak, select, raw, comp5, lean",,,,,Beef Products,
320389,"Proximates, Beef, Eye of Round roast/steak, lean only, raw, animal 11, select",23.5,2.81,,,Beef Products,
320391,"Proximates, Beef, Eye of Round roast/steak, lean only, raw, animal 16, select",23.8,2.07,,,Beef Products,
320393,"Proximates, Beef, Eye of Round roast/steak, lean only, raw, animal 17, select",23.8,3.3,,,Beef Products,
320395,"Proximates, Beef, Eye of Round roast/steak, lean only, raw, animal 18, select",24.0,2.24,,,Beef Products,
320397,"B12, B6, B3, B2 - Beef, Eye of Round roast/steak, select, raw, comp6, lean",,,,,Beef Products,
320398,"Choles, FA - Beef, Eye of Round roast/steak, select, raw, comp6, lean",,,,,Beef Products,
320399,"FA - Beef, Eye of Round roast/steak, select, raw, comp6, lean",,,,,Beef Products,
320401,"Proximates, Beef, Eye of Round roast/steak, lean only, raw, animal 22, select",23.9,3.01,,,Beef Products,
320403,"Proximates, Beef, Eye of Round roast/steak, lean only, raw, animal 23, select",23.3,3.45,,,Beef Products,
320405,"Proximates, Beef, Eye of Round roast/steak, lean only, raw, animal 28, select",22.9,1.98,,,Beef Products,
320407,"Proximates, Beef, Eye of Round roast/steak, lean only, raw, animal 29, select",23.3,2.27,,,Beef Products,
320409,"Proximates, Beef, Eye of Round roast/steak, lean only, raw, animal 35, select",22.7,1.47,,,Beef Products,
320411,"Proximates, Beef, Eye of Round roast/steak, lean only, raw, animal 36, select",22.6,1.74,,,Beef Products,
320416,"TOMATOES, GRAPE",,,,,Vegetables and Vegetable Products,
320417,"TOMATOES, GRAPE",,,,,Vegetables and Vegetable Products,
320421,"TOMATOES, GRAPE",,,,,Vegetables and Vegetable Products,
320422,"TOMATOES, GRAPE",,,,,Vegetables and Vegetable Products,
320426,"TOMATOES, GRAPE",,,,,Vegetables and Vegetable Products,
320427,"TOMATOES, GRAPE",,,,,Vegetables and Vegetable Products,
320431,"TOMATOES, GRAPE",,,,,Vegetables and Vegetable Products,
320432,"TOMATOES, GRAPE",,,,,Vegetables and Vegetable Products,
320436,"TOMATOES, GRAPE",,,,,Vegetables and Vegetable Products,
320437,"TOMATOES, GRAPE",,,,,Vegetables and Vegetable Products,
320441,"TOMATOES, GRAPE",,,,,Vegetables and Vegetable Products,
320442,"TOMATOES, GRAPE",,,,,Vegetables and Vegetable Products,
320448,"TOMATOES, GRAPE",,0.7,,,Vegetables and Vegetable Products,
320449,"TOMATOES, GRAPE",,,,,Vegetables and Vegetable Products,
320450,"TOMATOES, GRAPE",,,,,Vegetables and Vegetable Products,
